id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,days_since_prev_campaign_contact,num_contacts_prev_campaign,prev_campaign_outcome,lead_value
id_2115,62.0,retired,married,secondary,no,2913.0,no,no,cellular,12,apr,127.0,1.0,188.0,1,success,1
id_20153,35.0,self-employed,single,tertiary,no,355.0,no,no,cellular,12,aug,599.0,1.0,,0,unknown,1
id_30676,52.0,admin.,married,secondary,no,-2.0,no,no,telephone,6,sep,364.0,1.0,655.0,5,failure,1
id_5313,38.0,technician,,secondary,no,378.0,yes,yes,telephone,17,apr,783.0,2.0,,0,unknown,1
id_29490,71.0,retired,married,tertiary,no,2579.0,no,no,cellular,25,jan,185.0,2.0,161.0,1,failure,1
id_8954,79.0,retired,married,primary,no,154.0,no,no,telephone,12,mar,275.0,1.0,93.0,2,success,1
id_22336,31.0,blue-collar,married,secondary,no,289.0,yes,no,unknown,14,may,574.0,2.0,,0,unknown,1
id_38527,22.0,management,single,secondary,no,690.0,no,no,cellular,13,aug,201.0,1.0,101.0,2,other,1
id_13009,57.0,entrepreneur,divorced,secondary,yes,22.0,yes,no,cellular,11,may,655.0,1.0,370.0,4,other,1
id_10903,27.0,admin.,divorced,secondary,no,8.0,yes,no,cellular,18,jul,648.0,2.0,,0,unknown,1
id_38844,40.0,technician,married,secondary,no,6731.0,no,no,cellular,25,nov,235.0,1.0,96.0,4,success,1
id_35324,29.0,technician,single,secondary,no,1701.0,yes,no,cellular,18,jul,458.0,2.0,,0,unknown,1
id_44833,73.0,retired,married,tertiary,no,2886.0,no,no,cellular,30,jun,131.0,1.0,,0,unknown,1
id_32409,27.0,student,single,tertiary,no,252.0,no,no,cellular,4,may,615.0,1.0,,0,unknown,1
id_24037,59.0,housemaid,married,secondary,no,1.0,no,no,telephone,4,aug,163.0,1.0,1.0,7,success,1
id_37496,30.0,services,married,secondary,no,66.0,yes,no,cellular,17,jul,739.0,2.0,,0,unknown,1
id_19279,29.0,blue-collar,married,secondary,no,253.0,yes,no,cellular,29,jan,609.0,2.0,,0,unknown,1
id_19657,58.0,technician,married,secondary,no,258.0,no,no,cellular,18,mar,204.0,1.0,,0,unknown,1
id_15200,49.0,management,married,secondary,no,-4.0,yes,yes,cellular,3,nov,1238.0,1.0,351.0,2,failure,1
id_5990,39.0,technician,married,tertiary,no,513.0,no,no,cellular,5,aug,848.0,2.0,,0,unknown,1
id_25882,32.0,blue-collar,married,secondary,no,2.0,yes,yes,cellular,8,apr,538.0,1.0,,0,unknown,1
id_43128,28.0,technician,married,secondary,no,0.0,no,yes,cellular,15,jul,622.0,6.0,,0,unknown,1
id_8501,57.0,management,married,secondary,no,-386.0,no,no,telephone,5,feb,416.0,4.0,189.0,12,success,1
id_16986,50.0,blue-collar,divorced,primary,no,2654.0,yes,no,unknown,30,may,1976.0,2.0,,0,unknown,1
id_43324,74.0,retired,married,primary,no,5540.0,no,no,cellular,12,jul,396.0,2.0,159.0,3,failure,1
id_21838,23.0,management,married,primary,no,172.0,yes,no,unknown,3,jun,800.0,1.0,,0,unknown,1
id_16549,42.0,blue-collar,married,secondary,no,175.0,yes,no,cellular,11,jul,606.0,2.0,,0,unknown,1
id_21418,41.0,housemaid,married,tertiary,no,-561.0,yes,yes,cellular,9,jul,628.0,4.0,,0,unknown,1
id_2568,47.0,unemployed,married,secondary,no,16398.0,no,no,cellular,18,nov,643.0,1.0,,0,unknown,1
id_30385,31.0,unemployed,married,secondary,no,1206.0,no,no,cellular,7,aug,467.0,1.0,,0,unknown,1
id_12690,33.0,management,single,tertiary,no,713.0,yes,no,cellular,29,jun,266.0,1.0,84.0,3,success,1
id_16341,71.0,retired,married,primary,no,793.0,no,no,cellular,23,oct,431.0,1.0,182.0,2,failure,1
id_10928,57.0,retired,divorced,tertiary,no,0.0,no,no,cellular,2,mar,209.0,4.0,390.0,2,other,1
id_1612,18.0,student,single,secondary,no,119.0,no,no,telephone,11,nov,516.0,1.0,91.0,1,success,1
id_34051,42.0,blue-collar,married,primary,no,203.0,yes,no,cellular,11,aug,270.0,1.0,103.0,3,success,1
id_14922,34.0,blue-collar,married,secondary,no,20.0,yes,no,cellular,8,apr,681.0,2.0,,0,unknown,1
id_21982,64.0,retired,single,tertiary,no,789.0,no,no,cellular,21,oct,219.0,2.0,,0,unknown,1
id_27428,61.0,admin.,married,unknown,no,480.0,no,no,cellular,19,jul,165.0,2.0,311.0,8,failure,1
id_44450,54.0,housemaid,married,primary,no,1899.0,no,no,unknown,5,jun,840.0,1.0,,0,unknown,1
id_33630,39.0,management,married,tertiary,no,1588.0,yes,no,telephone,21,nov,642.0,1.0,,0,unknown,1
id_22465,41.0,blue-collar,married,secondary,no,2820.0,yes,no,unknown,14,may,844.0,1.0,,0,unknown,1
id_8839,58.0,management,married,secondary,no,1505.0,no,no,telephone,17,nov,328.0,2.0,109.0,11,failure,1
id_39834,49.0,housemaid,married,secondary,yes,-1013.0,yes,no,unknown,26,may,664.0,1.0,,0,unknown,1
id_1416,23.0,admin.,single,tertiary,no,314.0,no,yes,cellular,2,jun,196.0,1.0,96.0,2,success,1
id_16076,25.0,student,single,secondary,no,3161.0,no,no,telephone,20,oct,240.0,2.0,,0,unknown,1
id_30441,59.0,retired,married,tertiary,no,1267.0,no,no,cellular,31,aug,1133.0,1.0,,0,unknown,1
id_25267,43.0,management,single,tertiary,no,2068.0,yes,no,unknown,8,may,737.0,1.0,,0,unknown,1
id_507,43.0,unknown,single,secondary,no,-3.0,no,no,unknown,18,jun,1501.0,1.0,,0,unknown,1
id_39762,53.0,management,married,tertiary,no,348.0,no,no,cellular,12,feb,140.0,1.0,92.0,5,success,1
id_12540,24.0,student,single,secondary,no,465.0,no,no,cellular,24,feb,542.0,1.0,187.0,2,success,1
id_8531,51.0,services,married,secondary,no,660.0,no,no,cellular,28,jan,385.0,4.0,93.0,1,success,1
id_29472,40.0,management,divorced,tertiary,no,1312.0,yes,no,cellular,19,nov,1341.0,4.0,126.0,1,failure,1
id_10947,33.0,services,married,secondary,no,57.0,yes,no,unknown,5,may,1076.0,1.0,,0,unknown,1
id_6393,39.0,admin.,married,secondary,no,601.0,no,no,cellular,2,jun,390.0,1.0,,0,unknown,1
id_35442,52.0,management,divorced,tertiary,no,,no,no,cellular,8,may,208.0,2.0,358.0,5,other,1
id_32772,59.0,retired,married,secondary,no,1040.0,no,no,telephone,12,jul,577.0,1.0,182.0,3,success,1
id_5825,39.0,blue-collar,divorced,secondary,no,312.0,yes,no,cellular,28,jan,240.0,1.0,247.0,2,success,1
id_8887,58.0,technician,married,secondary,no,2627.0,no,no,cellular,14,aug,455.0,2.0,,0,unknown,1
id_24038,47.0,technician,single,secondary,no,1098.0,yes,no,cellular,23,jul,940.0,3.0,,0,unknown,1
id_31473,73.0,retired,married,tertiary,no,4908.0,no,no,telephone,20,apr,268.0,2.0,181.0,3,failure,1
id_29743,57.0,retired,divorced,tertiary,no,979.0,yes,no,cellular,15,jul,348.0,1.0,181.0,4,success,1
id_44660,78.0,housemaid,married,primary,no,3.0,no,no,cellular,23,feb,658.0,1.0,189.0,1,failure,1
id_10756,53.0,admin.,married,primary,no,2.0,yes,no,cellular,30,jan,518.0,3.0,,0,unknown,1
id_44496,33.0,unemployed,single,tertiary,no,6750.0,no,no,cellular,14,aug,1571.0,2.0,,0,unknown,1
id_21337,37.0,admin.,married,secondary,no,1202.0,yes,no,cellular,19,nov,1787.0,2.0,,0,unknown,1
id_23391,63.0,admin.,married,secondary,no,4045.0,no,no,cellular,14,jun,718.0,2.0,,0,unknown,1
id_6623,29.0,management,married,tertiary,no,628.0,no,no,cellular,30,apr,291.0,1.0,,0,unknown,1
id_19676,53.0,unemployed,single,primary,no,1114.0,no,no,cellular,4,feb,941.0,2.0,,0,unknown,1
id_5231,,management,married,tertiary,no,495.0,no,no,cellular,9,sep,231.0,1.0,183.0,5,success,1
id_30773,45.0,blue-collar,married,secondary,no,10253.0,no,no,cellular,4,may,673.0,2.0,,0,unknown,1
id_16630,38.0,services,married,secondary,no,2.0,yes,no,unknown,5,jun,634.0,2.0,,0,unknown,1
id_17953,24.0,blue-collar,married,primary,no,1000.0,yes,no,unknown,3,jun,580.0,1.0,,0,unknown,1
id_5197,46.0,management,single,tertiary,no,5690.0,no,no,cellular,12,feb,271.0,1.0,,0,unknown,1
id_21261,59.0,housemaid,divorced,primary,no,2515.0,no,no,cellular,30,jul,679.0,3.0,,0,unknown,1
id_14131,25.0,technician,single,unknown,no,58.0,no,no,cellular,15,jul,809.0,4.0,,0,unknown,1
id_3235,39.0,unknown,single,tertiary,no,4.0,no,no,cellular,8,jun,237.0,2.0,97.0,1,success,1
id_9756,24.0,student,single,secondary,no,478.0,no,no,cellular,9,feb,726.0,2.0,182.0,1,failure,1
id_44279,45.0,unknown,,unknown,no,-4.0,no,no,cellular,21,apr,297.0,3.0,,0,unknown,1
id_19201,36.0,technician,single,unknown,no,45245.0,yes,no,unknown,6,may,1613.0,1.0,,0,unknown,1
id_10270,68.0,retired,married,tertiary,no,45.0,no,no,cellular,18,sep,1104.0,2.0,88.0,2,other,1
id_44836,68.0,retired,married,primary,no,10393.0,no,no,telephone,10,aug,425.0,1.0,,0,unknown,1
id_18251,24.0,management,single,tertiary,no,614.0,yes,no,cellular,22,may,677.0,1.0,101.0,1,other,1
id_42526,55.0,management,married,primary,no,2583.0,no,no,cellular,4,sep,326.0,2.0,94.0,2,success,1
id_41582,24.0,management,single,tertiary,no,2850.0,no,no,cellular,5,feb,322.0,1.0,,0,unknown,1
id_39688,59.0,management,divorced,unknown,no,849.0,no,no,cellular,27,aug,719.0,4.0,92.0,1,failure,1
id_31294,55.0,unemployed,married,primary,no,1207.0,no,no,cellular,31,aug,222.0,1.0,92.0,1,failure,1
id_9371,31.0,technician,single,secondary,no,704.0,yes,no,cellular,18,may,1354.0,1.0,,0,unknown,1
id_14260,39.0,management,married,tertiary,no,1387.0,no,no,cellular,5,aug,542.0,1.0,,0,unknown,1
id_29694,21.0,student,single,secondary,no,692.0,no,no,cellular,8,sep,625.0,1.0,,0,unknown,1
id_3319,61.0,management,married,tertiary,no,7050.0,no,no,unknown,11,jun,648.0,2.0,,0,unknown,1
id_28661,53.0,admin.,married,secondary,no,-1.0,no,no,cellular,27,jan,571.0,1.0,,0,unknown,1
id_32628,31.0,admin.,single,secondary,no,151.0,yes,no,cellular,12,may,593.0,1.0,370.0,1,other,1
id_11155,38.0,management,married,secondary,no,407.0,yes,no,unknown,12,jun,560.0,2.0,,0,unknown,1
id_3212,31.0,admin.,single,secondary,no,974.0,yes,no,cellular,28,jul,639.0,3.0,,0,unknown,1
id_32185,56.0,blue-collar,married,primary,no,825.0,yes,no,cellular,21,jul,865.0,1.0,,0,unknown,1
id_14390,32.0,management,single,tertiary,no,5203.0,no,no,cellular,9,jun,518.0,2.0,,0,unknown,1
id_38980,25.0,self-employed,single,secondary,no,5674.0,yes,no,cellular,9,feb,719.0,4.0,,0,unknown,1
id_13449,47.0,management,single,tertiary,no,163.0,no,no,telephone,7,jul,232.0,1.0,251.0,6,success,1
id_42361,25.0,management,single,tertiary,no,9709.0,no,no,cellular,14,oct,772.0,2.0,,0,unknown,1
id_12120,38.0,blue-collar,married,secondary,no,686.0,yes,no,unknown,6,jun,953.0,1.0,,0,unknown,1
id_15738,58.0,management,divorced,unknown,no,2981.0,no,no,unknown,1,jun,1572.0,1.0,166.0,3,success,1
id_21483,51.0,technician,married,secondary,no,310.0,no,no,cellular,26,oct,240.0,2.0,91.0,5,failure,1
id_35316,23.0,student,single,secondary,no,1788.0,no,no,cellular,17,apr,222.0,1.0,322.0,3,failure,1
id_720,29.0,admin.,married,secondary,no,8777.0,yes,,cellular,14,may,665.0,1.0,177.0,1,success,1
id_42473,30.0,self-employed,married,primary,no,1071.0,yes,no,unknown,23,may,1451.0,2.0,,0,unknown,1
id_13008,37.0,technician,married,secondary,no,429.0,yes,no,cellular,6,aug,560.0,3.0,,0,unknown,1
id_6313,31.0,blue-collar,single,secondary,no,1255.0,yes,no,cellular,14,apr,589.0,1.0,,0,unknown,1
id_9080,80.0,retired,divorced,primary,no,2785.0,no,no,telephone,13,jul,606.0,1.0,377.0,1,success,1
id_34998,26.0,admin.,single,secondary,no,68.0,yes,no,unknown,3,jun,820.0,1.0,,0,unknown,1
id_28822,59.0,admin.,single,secondary,no,2222.0,no,no,cellular,4,dec,1139.0,2.0,114.0,1,success,1
id_39290,39.0,management,married,tertiary,no,1739.0,yes,no,cellular,14,may,624.0,1.0,358.0,1,other,1
id_6426,42.0,blue-collar,married,secondary,no,1804.0,yes,no,cellular,12,may,566.0,1.0,,0,unknown,1
